"collar_id","herd_name"
"ee51","2020_herd_b"
"ee5c","2020_herd_b"
"ee72","2020_herd_b"
"ee89","2020_herd_b"
"ee9b","2020_herd_b"
"eea7","2020_herd_b"
"eeac","2020_herd_b"
"ef70","2020_herd_b"
"efb1","2020_herd_b"
"f09f","2020_herd_b"
"f4eb","2020_herd_b"
"f4ed","2020_herd_b"
"f4ef","2020_herd_b"
"f4f1","2020_herd_b"
"f4f2","2020_herd_b"
"f4f4","2020_herd_b"
"f4f5","2020_herd_b"
"f4f8","2020_herd_b"
"f509","2020_herd_b"
"f50b","2020_herd_b"
"f50e","2020_herd_b"
"f512","2020_herd_b"
"f514","2020_herd_b"
"f515","2020_herd_b"
"f517","2020_herd_b"
"f518","2020_herd_b"
"f519","2020_herd_b"
"f51a","2020_herd_b"
"f51b","2020_herd_b"
"f51c","2020_herd_b"
"f520","2020_herd_b"
"f522","2020_herd_b"
"f523","2020_herd_b"
"f536","2020_herd_b"
"f537","2020_herd_b"
"f539","2020_herd_b"
"f580","2020_herd_b"
"f581","2020_herd_b"
"f583","2020_herd_b"
"f684","2020_herd_b"
"f685","2020_herd_b"
"f686","2020_herd_b"
"f687","2020_herd_b"
"f68a","2020_herd_b"
"f68b","2020_herd_b"
"f68c","2020_herd_b"
"f68e","2020_herd_b"
"f68f","2020_herd_b"
"f691","2020_herd_b"
"f692","2020_herd_b"
"f693","2020_herd_b"
"f694","2020_herd_b"
"f695","2020_herd_b"
"f696","2020_herd_b"
"f697","2020_herd_b"
"f698","2020_herd_b"
"f699","2020_herd_b"
"f69c","2020_herd_b"
"f69d","2020_herd_b"
"f69e","2020_herd_b"
"f69f","2020_herd_b"
"f6a1","2020_herd_b"
"f6a3","2020_herd_b"
"f6a5","2020_herd_b"
"f6a6","2020_herd_b"
"f6a7","2020_herd_b"
"f6aa","2020_herd_b"
"f6ac","2020_herd_b"
"f6ad","2020_herd_b"
"f6ae","2020_herd_b"
"f6b0","2020_herd_b"
"f6b1","2020_herd_b"
"f6b3","2020_herd_b"
"f6b4","2020_herd_b"
"f6b5","2020_herd_b"
"f6b6","2020_herd_b"
"f6b7","2020_herd_b"
"f6b8","2020_herd_b"
"f6b9","2020_herd_b"
"f6ba","2020_herd_b"
"f6bb","2020_herd_b"
"f6bc","2020_herd_b"
"f6c0","2020_herd_b"
"f6c3","2020_herd_b"
"f6c4","2020_herd_b"
"f6c6","2020_herd_b"
"f6ca","2020_herd_b"
"f6cb","2020_herd_b"
"f9ec","2020_herd_b"
"fa40","2020_herd_b"
"fa59","2020_herd_b"
"faaa","2020_herd_b"
"faad","2020_herd_b"
"faf0","2020_herd_b"
"fbb3","2020_herd_b"
"f4ee","2020_herd_b"
